file_path,image_path,epoch_idx,label,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_rel_power,theta_rel_power,alpha_rel_power,beta_rel_power,gamma_rel_power
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_010.png,10,-1,4.820866479046365e-10,9.143144341735377e-11,1.6604717060153517e-10,1.4928369307632988e-10,2.140741645301152e-11,0.5296163399935059,0.10044581536014889,0.182418026183663,0.16400181065259348,0.023518007810088695
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_011.png,11,-1,1.800289322284049e-10,1.4832385370958803e-10,3.10965166889294e-10,5.763581238501899e-11,1.9540582718416968e-11,0.25126357625616846,0.2070132920628835,0.43400923927366536,0.08044140550651173,0.02727248690077081
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_012.png,12,-1,4.346004225763862e-10,1.353284301278256e-10,1.3988992742499448e-10,8.677811120520839e-11,1.1799032110328944e-11,0.5376083797212424,0.1674036523479274,0.1730463048711259,0.1073460524583409,0.014595610601363261
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_013.png,13,-1,5.145396837935189e-10,1.4618710636112951e-10,8.864936108202692e-11,9.749664540021615e-11,9.992613413972858e-12,0.6004906695474793,0.1706068475239906,0.10345774265384877,0.11378291649610252,0.011661823778578816
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_014.png,14,-1,2.1214375012038007e-10,1.271287368534913e-10,2.9992794082818237e-10,1.343350954248076e-10,1.523747749374141e-11,0.26895412232235516,0.16117277941479966,0.38024620588455227,0.17030894224584578,0.01931795013244729
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_015.png,15,-1,3.650144972101963e-10,1.5556315766176303e-10,3.4007377106814974e-10,1.6755975086375105e-10,2.1636417291411192e-11,0.34768332019158965,0.14817689590061203,0.323926799452463,0.15960388136922793,0.02060910308610731
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_016.png,16,-1,3.2285818402467014e-10,9.253808136402846e-11,1.7627034458082595e-10,1.552187033557295e-10,2.0900665738664868e-11,0.4205054440018523,0.12052588076282722,0.2295826563487574,0.2021640243352339,0.027221994551329082
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_017.png,17,-1,3.124980615112855e-10,1.3775536640712995e-10,1.8230462288805596e-10,1.0791846839001617e-10,8.554183509443028e-12,0.4172032740211614,0.18391150844615334,0.24338738349371605,0.14407749642324735,0.01142033761572174
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_018.png,18,-1,9.119211377824606e-10,1.6680570609814256e-10,2.3218723862243004e-10,1.256750677799789e-10,1.0568753848276889e-11,0.6301462578334709,0.11526434373329424,0.16044361016831069,0.0868426779283772,0.007303110336546986
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_019.png,19,-1,5.112128470414044e-10,1.4276461689355147e-10,2.4748354124981635e-10,1.324681964619933e-10,1.4794763449491096e-11,0.4874617764594356,0.13613173880359253,0.23598539700301518,0.12631369251663355,0.014107395217323146
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_020.png,20,-1,3.5563485515080904e-10,1.9491114532747665e-10,3.3461618695772195e-10,1.5707597375422598e-10,1.5902571753784055e-11,0.336094097957407,0.18420153317903576,0.31623032413347735,0.14844525767116115,0.015028787058918943
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_021.png,21,-1,4.741665336497515e-10,2.2639044020113794e-10,4.2447125064365557e-10,1.300146287349899e-10,1.3655710534095514e-11,0.3737424690094414,0.1784430491743793,0.3345721850464223,0.10247873880246051,0.01076355796729639
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_022.png,22,-1,4.2684316132309965e-10,1.6048587055261475e-10,3.29124144483627e-10,1.0544674335224097e-10,9.833523037837575e-12,0.41371457358755814,0.1555497417287775,0.3190011400682708,0.10220347522247673,0.009531069392916704
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_023.png,23,-1,6.094707762463977e-10,1.5076875252212854e-10,2.935609073141164e-10,9.32113689400723e-11,9.62492149844762e-12,0.5269336190624986,0.1303509987752148,0.25380562503584414,0.08058828394670281,0.008321473179739565
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_024.png,24,-1,3.7162825469404644e-10,1.6107704944597093e-10,4.215933985752053e-10,1.2412432111536283e-10,1.5877826024693273e-11,0.33960336843674593,0.14719631211770817,0.38526279005536823,0.11342796739285935,0.0145095619973183
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_025.png,25,-1,1.5637059612281415e-10,1.9972903904642253e-10,6.753992235229924e-10,1.3345064682993129e-10,1.335182175762399e-11,0.13270849527413323,0.16950591026449507,0.5731973714077137,0.11325680769452602,0.011331415359132188
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_026.png,26,-1,1.38816915826496e-10,1.3957126677810456e-10,4.794715058620313e-10,1.4484149900685777e-10,1.2037869681493552e-11,0.1517557545408017,0.15258041699039115,0.5241620570496697,0.15834187670672234,0.013159894712415228
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_027.png,27,-1,2.9425985483617125e-10,1.982061381771948e-10,6.006176878104995e-10,1.079244287719505e-10,1.3536743271684732e-11,0.24227994062255773,0.16319375748803064,0.4945207963233805,0.08885997788977856,0.011145527676252483
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_028.png,28,-1,2.1119633773967928e-10,1.6297270668210092e-10,3.0020961343098963e-10,7.332861538897701e-11,1.5199535606662814e-11,0.2768311087149364,0.2136207264005213,0.3935075817243644,0.09611739538629216,0.01992318777388573
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_029.png,29,-1,2.8369206026418986e-10,1.8657264935928448e-10,3.091605934760251e-10,1.287743567635186e-10,1.382330729316797e-11,0.30768437486886796,0.2023514120637735,0.335306824763352,0.13966502066721823,0.01499236763678835
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_030.png,30,-1,3.0763121054922866e-10,2.0865915849342918e-10,3.5274696836889433e-10,1.4820997606907605e-10,8.259881842588868e-12,0.2999795729880473,0.20346922912390142,0.3439731773483231,0.14452358476369692,0.00805443577603133
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_031.png,31,-1,2.0606669174782132e-10,1.1254092264239643e-10,4.053981598008121e-10,1.1270924699775565e-10,1.0288563886888366e-11,0.2432890431383601,0.13286947614553682,0.4786262619710075,0.13306820535793346,0.012147013387161936
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_032.png,32,-1,4.984948367695027e-10,1.2536170136916984e-10,1.216553427085953e-10,1.4626355036884463e-10,1.0294961568336249e-11,0.5526119034134168,0.13897108515247017,0.1348623607222913,0.16214205846770827,0.011412592244113534
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_033.png,33,-1,1.8287193114906763e-10,1.4510119496756306e-10,2.1556823196581454e-10,1.78204569281203e-10,1.0862804619338349e-11,0.24961746040629296,0.1980609684719575,0.29424742369958634,0.24324658102128854,0.014827566400874698
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_034.png,34,-1,2.564210714673391e-10,1.2630750358796684e-10,1.8771950512964812e-10,1.0216350008938779e-10,1.6464938612473872e-11,0.3721227823603398,0.1832996773595089,0.2724218573474305,0.14826147356527275,0.023894209367448092
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_035.png,35,-1,1.967569018032764e-10,1.2417802495741888e-10,1.260321478690152e-10,9.273543004861535e-11,1.5510576913555658e-11,0.35438088245173194,0.2236583197956744,0.2269977996693839,0.1670267382438623,0.027936259839347527
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_036.png,36,-1,2.795712643728472e-10,8.402590892363386e-11,1.300438848914459e-10,8.922545721633901e-11,1.2319353332596407e-11,0.46972093770668544,0.1411759138400891,0.2184928972985069,0.14991192147370433,0.020698329681014177
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_037.png,37,-1,4.1423333268252447e-10,1.0235949975456696e-10,9.840937159958073e-11,9.160188208626237e-11,1.4127350070723597e-11,0.5747402040213233,0.14202169437086035,0.13654097304163998,0.1270957217712497,0.019601406794926626
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_038.png,38,-1,8.244824145980224e-10,1.3982329897380057e-10,3.1391200226286917e-10,2.0420610967891157e-10,1.1708399200579631e-11,0.5518135550257206,0.09358160988767092,0.21009653434314907,0.1366720470258077,0.007836253717651637
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_039.png,39,-1,4.154435821611435e-10,2.1633967470857822e-10,6.665269784991885e-10,2.409550309967034e-10,1.4624246860581667e-11,0.26735722110550636,0.1392246185247833,0.42894103655757415,0.1550657424133271,0.009411381398809182
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_040.png,40,-1,2.1506048695130495e-10,3.655819644976132e-10,6.693949142555313e-10,1.6159966581867125e-10,1.4809601729731674e-11,0.15076658455906164,0.2562885676724858,0.4692744184400723,0.11328826613734666,0.010382163191033675
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_041.png,41,-1,1.4935101684916627e-10,1.998099462494099e-10,4.3010974365635105e-10,1.1390239895862149e-10,1.408407940761233e-11,0.16461816924516387,0.22023517644858992,0.47407697696977885,0.12554587698681077,0.015523800349656586
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_042.png,42,-1,2.589550863777928e-10,1.612653406102419e-10,5.118787679368502e-10,7.572676523054433e-11,8.054228077612111e-12,0.2549071134345115,0.15874444888106023,0.5038771046683962,0.07454300822841986,0.007928324787612141
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_043.png,43,-1,2.1586660005299105e-10,1.1799523720370829e-10,3.8392797763361994e-10,1.401987185768465e-10,1.1014183973160544e-11,0.24840727850521874,0.13578235698878688,0.4418029655470944,0.1613328885665698,0.012674510392330135
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_044.png,44,-1,3.9911740505249907e-10,1.1908721165839805e-10,1.8859306262521406e-10,1.5608077914367565e-10,1.0697815841941416e-11,0.4568775695772945,0.13632148120192603,0.21588620040264211,0.1786687479177037,0.012246000900433719
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_045.png,45,-1,4.5492302113308945e-10,3.52457526734275e-10,5.379434299772574e-10,2.0893925680049756e-10,1.2458955734796515e-11,0.29036610569916976,0.22496491649793207,0.3433559780287601,0.13336075666984182,0.007952243104296194
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_046.png,46,-1,1.8866892679621768e-10,1.652153430136099e-10,5.100548563226386e-10,1.2016136844386653e-10,1.5535035531873817e-11,0.1887377160111496,0.1652755809867282,0.5102408237404558,0.12020517961267296,0.015540699648993279
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_047.png,47,-1,2.2248537787577635e-10,2.746054670805974e-10,1.26962915945259e-09,1.2083907362705757e-10,6.598202528600887e-12,0.11745876657584449,0.14497500809370029,0.6702870835911424,0.06379569155473568,0.0034834501845770983
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_048.png,48,-1,2.963949614916564e-10,4.902995613651487e-10,1.179959059043299e-09,1.2127946524313507e-10,9.63523498078444e-12,0.14130408245471904,0.2337466510833513,0.5625366616663643,0.057819078538089826,0.004593526257475481
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_049.png,49,-1,2.2721417982411105e-10,2.7792039638423636e-10,4.1384582374294364e-10,1.2313611469658934e-10,1.1056722811359182e-11,0.2157424550326221,0.26388858594120185,0.3929513293950944,0.11691914522405912,0.010498484407022453
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_050.png,50,-1,2.346387372036962e-10,1.957780445932537e-10,2.5807388570759615e-10,1.226940053803598e-10,1.6835065636645977e-11,0.2833733621165227,0.2364412772850317,0.31167600686475533,0.14817763354220603,0.020331720191484045
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_051.png,51,-1,4.669196680193854e-10,1.3034481916436178e-10,2.5475300654027024e-10,1.4097092197597426e-10,2.584429069266785e-11,0.45828884868899555,0.12793544842692428,0.2500440012789382,0.1383651320687421,0.025366569536399854
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_052.png,52,-1,2.3131885080105763e-10,2.235390904535795e-10,2.3140831214292103e-10,9.686250850766985e-11,1.6167717002536735e-11,0.28940306495176094,0.2796698050753892,0.2895149900561798,0.12118470563017125,0.020227434286498862
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_053.png,53,-1,1.6254397808346924e-10,8.384190558807325e-11,1.0483444813183485e-10,8.811164407154933e-11,9.725510228053114e-12,0.3619669710754893,0.1867063976945844,0.23345440478369792,0.19621462017302432,0.021657606273204
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_054.png,54,-1,8.62350516387155e-10,1.0672690641578928e-10,2.4986126917910185e-10,9.225952876505193e-11,1.7606060958758017e-11,0.6489672920681067,0.0803180030988298,0.18803466591659515,0.06943048726981335,0.013249551646654983
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_055.png,55,-1,6.059592994372315e-10,1.812037456334817e-10,4.2926226228576024e-10,1.0439289370184034e-10,1.9848657786512635e-11,0.4519835001809106,0.13515941297274572,0.32018562960199537,0.07786639388683743,0.014805063357510792
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_056.png,56,-1,3.195795101178661e-10,1.5256178968593635e-10,5.652224080213432e-10,1.880304869175382e-10,1.3794277796037906e-11,0.2578941922072148,0.12311427443590034,0.45612303579888347,0.15173679475271482,0.011131702805286437
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_057.png,57,-1,2.979938889295741e-10,8.528648136144774e-11,4.1086957372461557e-10,1.7338715530936485e-10,1.6217481221845155e-11,0.3029148680191414,0.08669487598628396,0.4176545470275953,0.17625041726665483,0.016485291700324502
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_058.png,58,-1,1.7480587782362656e-10,8.398141288572191e-11,4.842650747399592e-10,1.1535486578869924e-10,1.3028965869217758e-11,0.200595153614118,0.09637126982388652,0.5557091573054929,0.13237327778169578,0.01495114147480682
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_059.png,59,-1,1.6115537456040106e-10,7.763895620002992e-11,1.4134622555808916e-10,5.6749763117419286e-11,8.00937624275288e-12,0.3622285565166758,0.17450889931851285,0.31770357887628176,0.12755630913805818,0.018002656150471436
